Domain,Step 1,>,Step 2,>,Step 3,>,Step 4,>,Step 5,>,Step 6,>,Step 7,>,Step 8,>,Step 9,>,Step 10
1. 와인 입력 / 셀러 등록,라벨스캔,>,와인 매칭/검색,>,셀러에 등록,>,팔로워 알림,>,테이스팅노트 작성,>,외부 SNS 공유*,,,,,,,,
1. 와인 입력 (분기 A),,,,,└ 내픽 설정,,,,,,,,,,,,,,
1. 와인 입력 (분기 B),,,,,└ 메모리 사진 + 와인 태그,,,,,,,,,,,,,,
2. 셀러 발견 / 친구 활동,셀러 탭 진입,>,내 셀러 / Today's Pick / 카테고리 그리드,>,친구 셀러 추천 (Featured Caves),>,팔로우/언팔로우,>,친구 활동 스트립,>,알림,,,,,,,,
3. 모임 개설 / 카드 디자인,탭 'create',>,CreateGatheringSheet,>,카드 템플릿 선택 (signature/magazine/cover),>,제목/부제,>,커버 이미지 + 누끼*,>,설명/픽업/약속,>,호스트 와인 슬롯,>,유형(분담/BYOB/공짜),>,장소·일시·인원·가격,>,발행
4. 모임 발견 / 신청 / 운영,gatherings 탭,>,추천/파트너/사용자별 분리,>,모임 상세,>,신청 (사전 질문),>,호스트 승인 큐,>,승인 → 멤버,>,당일 와인 확정/변경,>,에스크로 정산*,,,,
5. Discover (트레바리화),explore 탭,>,시즌 클럽 hero,>,파트너/추천 모임,>,브랜드 바,>,샵 브라우즈 섹션*,>,와인 디테일 시트,,,,,,,,
6. 소셜 — Posts/Comments,포스트 작성 (LogDrink/Video),>,포스트 카드,>,좋아요/댓글/대댓글,>,멘션 (@user),>,DM 1:1,,,,,,,,,,
6. 소셜 (분기 — 비디오),,,,,└ 비디오 업로드 → mux-upload → status polling → playback token,,,,,,,,,,,,,,
7. 권한 / 배지 / 진정성,사용자 가입,>,프로필 셋업,>,활동 누적,>,자동 배지 부여 (BadgeChecker),>,진정성 배지 노출,>,파트너 인증 (오프라인),,,,,,,,
8. AI / 컴퓨터 비전 (Wine Vision),사진 캡처,>,Claude Vision 호출 (wine-vision EF),>,메타데이터 추출 (region/category/varietal),>,사용자 검토/편집,>,매칭 와인 등록,,,,,,,,,,
9. 미디어 — 이미지,사진 선택,>,expo-image-manipulator (resize 1080·jpeg q70),>,Supabase Storage (post-images),>,CDN 노출,,,,,,,,,,,,
9. 미디어 — 비디오,비디오 선택,>,mux-upload presigned URL,>,PUT to Mux,>,mux-status polling,>,playback token (signed JWT 2h),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KNOWN GAPS (* 표시 항목),Status,,Note,,,,,,,,,,,,,,,,
모임 누끼 토글,Plan/Design/Do 코드 ✓ 검증 미완,,gathering-photo-cutout PDCA 보류,,,,,,,,,,,,,,,,
모임 에스크로 정산,DB 스키마 미구현,,payment_status / gathering_members.confirmed 부재,,,,,,,,,,,,,,,,
Venues 테이블 (제휴 업장),미구현,,현재 장소는 자유 텍스트,,,,,,,,,,,,,,,,
외부 SNS 공유,미구현,,,,,,,,,,,,,,,,,,
샵 스마트오더,Skeleton만 존재,,제품 방향성 양면 BM 한 축,,,,,,,,,,,,,,,,
TanStack Query 도입,검토 중,,58개 hooks 가 manual useState+useEffect 패턴,,,,,,,,,,,,,,,,
Push 알림,DB notifications 만,,FCM/APNS 미연결,,,,,,,,,,,,,,,,
댓글 대댓글 깊이,1단계만 (00044),,다중 깊이 미지원,,,,,,,,,,,,,,,,
